tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,11,,4,2022,0.1441,"Non Basis",-9054882984.75,"Relatif Tertinggal"
provinsi,11,,5,2022,0.4341,"Non Basis",2918319841.12,"Potensial / Cepat Berkembang"
provinsi,11,,6,2022,0.9551,"Non Basis",-591283649699.23,"Relatif Tertinggal"
provinsi,11,,7,2022,1.1072,Basis,167408100846.07,"Maju dan Tumbuh Cepat"
provinsi,11,,8,2022,1.4755,Basis,-1065427846787,"Maju tapi Tertekan"
provinsi,11,,9,2022,0.4686,"Non Basis",317083579598.99,"Potensial / Cepat Berkembang"
provinsi,11,,10,2022,0.6572,"Non Basis",196490074964.17,"Potensial / Cepat Berkembang"
provinsi,11,,11,2022,0.3528,"Non Basis",-175870461923.34,"Relatif Tertinggal"
provinsi,11,,12,2022,1.3805,Basis,128251541135.17,"Maju dan Tumbuh Cepat"
provinsi,11,,13,2022,0.3484,"Non Basis",23503934696.28,"Potensial / Cepat Berkembang"
provinsi,11,,14,2022,2.5913,Basis,-314762148522.46,"Maju tapi Tertekan"
provinsi,11,,15,2022,0.8646,"Non Basis",121379307773.91,"Potensial / Cepat Berkembang"
