provinsi_id,sektor_id,tahun,nilai
15,16,2023,2261370000000
15,17,2023,1780290000000
15,1,2024,47643000000000
15,2,2024,38163880000000
15,3,2024,17691800000000
15,4,2024,117130000000
15,5,2024,224570000000
15,6,2024,14135030000000
15,7,2024,18314650000000
15,8,2024,6080640000000
15,9,2024,2200930000000
15,10,2024,7686670000000
15,11,2024,3778180000000
15,12,2024,2586730000000
15,13,2024,2269330000000
15,14,2024,5621900000000
15,15,2024,5918600000000
15,16,2024,2509210000000
15,17,2024,1926190000000
15,1,2025,50259680000000
15,2,2025,40445930000000
15,3,2025,18594580000000
15,4,2025,125400000000
15,5,2025,228550000000
15,6,2025,13549930000000
15,7,2025,19736460000000
15,8,2025,6620790000000
15,9,2025,2267890000000
15,10,2025,8339270000000
15,11,2025,4109700000000
15,12,2025,2692350000000
15,13,2025,2427930000000
15,14,2025,5474400000000
15,15,2025,6110370000000
15,16,2025,2612120000000
15,17,2025,1986860000000
17,1,2021,13109720000000
17,2,2021,1634400000000
17,3,2021,2777630000000
17,4,2021,53140000000
17,5,2021,101940000000
17,6,2021,2249220000000
17,7,2021,7567450000000
17,8,2021,3738800000000
17,9,2021,816220000000
17,10,2021,2393520000000
17,11,2021,1720790000000
17,12,2021,2068230000000
17,13,2021,1015440000000
17,14,2021,4288560000000
17,15,2021,2988390000000
17,16,2021,938860000000
17,17,2021,391480000000
17,1,2022,13699330000000
17,2,2022,1588380000000
17,3,2022,2863150000000
17,4,2022,57400000000
17,5,2022,107280000000
17,6,2022,2254850000000
17,7,2022,7878700000000
17,8,2022,4241770000000
17,9,2022,884720000000
17,10,2022,2590830000000
17,11,2022,1645110000000
17,12,2022,2148080000000
17,13,2022,1130620000000
17,14,2022,4296970000000
17,15,2022,3134960000000
17,16,2022,970600000000
17,17,2022,423310000000
17,1,2023,13981680000000
17,2,2023,1713100000000
17,3,2023,2915670000000
17,4,2023,59670000000
17,5,2023,112180000000
17,6,2023,2368400000000
17,7,2023,8119040000000
17,8,2023,4548190000000
17,9,2023,972150000000
17,10,2023,2839840000000
17,11,2023,1561320000000
17,12,2023,2261170000000
17,13,2023,1219300000000
17,14,2023,4561640000000
17,15,2023,3288020000000
17,16,2023,1054150000000
17,17,2023,465350000000
17,1,2024,14341270000000
17,2,2024,1761520000000
17,3,2024,2959000000000
17,4,2024,62080000000
17,5,2024,119010000000
17,6,2024,2501770000000
17,7,2024,8388930000000
17,8,2024,4728850000000
17,9,2024,1063480000000
17,10,2024,3101980000000
17,11,2024,1646620000000
17,12,2024,2357680000000
17,13,2024,1319410000000
17,14,2024,4945280000000
17,15,2024,3499040000000
17,16,2024,1149780000000
17,17,2024,508950000000
17,1,2025,14930390000000
17,2,2025,1688250000000
17,3,2025,3237550000000
17,4,2025,64260000000
17,5,2025,119050000000
17,6,2025,2580610000000
17,7,2025,8661710000000
17,8,2025,4940460000000
17,9,2025,1186820000000
17,10,2025,3371400000000
17,11,2025,1802210000000
17,12,2025,2484570000000
17,13,2025,1421490000000
17,14,2025,5028810000000
17,15,2025,3752360000000
17,16,2025,1234390000000
17,17,2025,562490000000
12,1,2021,14160118000000
12,2,2021,706909000000
12,3,2021,9792800000000
12,4,2021,78892000000
12,5,2021,55517000000
12,6,2021,6830049000000
12,7,2021,9856007000000
12,8,2021,2167636000000
12,9,2021,1188896000000
12,10,2021,1738619000000
12,11,2021,1601794000000
12,12,2021,2372814000000
12,13,2021,471110000000
